posto;bairro;combustivel;preco_medio;qtd_amostras
Arara Azul Rede de Postos Ltda;Praia de Itaparica;Diesel;6.581;30
Arara Azul Rede de Postos Ltda;Praia de Itaparica;Etanol;4.719;30
Arara Azul Rede de Postos Ltda;Praia de Itaparica;Gasolina;6.452;29
Arara Azul Rede de Postos Ltda;Praia de Itaparica;Gasolina Aditivada;6.643;30
Auto Posto Boulevard Ltda;Praia de Itaparica;Diesel;6.582;27
Auto Posto Boulevard Ltda;Praia de Itaparica;Etanol;4.743;27
Auto Posto Boulevard Ltda;Praia de Itaparica;Gasolina;6.399;27
Auto Posto Boulevard Ltda;Praia de Itaparica;Gasolina Aditivada;6.799;27
Auto Posto R M Ltda;Praia de Itaparica;Diesel;6.549;30
Auto Posto R M Ltda;Praia de Itaparica;Etanol;4.741;31
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.379;31
Auto Posto R M Ltda;Praia de Itaparica;Gasolina Aditivada;6.782;30
Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;Diesel;6.706;28
Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;Etanol;5.014;28
Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;Gasolina;6.378;28
Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;Gasolina Aditivada;6.601;28
Posto Perim Ltda;Itaparica;Diesel;6.731;27
Posto Perim Ltda;Itaparica;Etanol;4.983;27
Posto Perim Ltda;Itaparica;Gasolina;6.427;27
Posto Perim Ltda;Itaparica;Gasolina Aditivada;6.627;27
