posto;bairro;combustivel;valor;data_coleta
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.29;2026-01-07
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.29;2026-01-12
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.29;2026-01-19
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.29;2026-01-26
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.19;2026-02-03
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.19;2026-02-09
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.09;2026-02-18
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.09;2026-02-23
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.06;2026-03-05
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.59;2026-03-11
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.59;2026-03-16
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.56;2026-03-23
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.43;2026-04-06
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.43;2026-04-13
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.43;2026-04-20
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.43;2026-04-28
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.42;2026-05-04
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.42;2026-05-18
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.39;2026-05-25
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.39;2026-06-01
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.35;2026-06-08
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.35;2026-06-15
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.67;2026-06-22
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.67;2026-06-29
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.56;2026-07-07
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.49;2026-07-13
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.49;2026-07-21
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.39;2026-07-27
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.35;2026-08-10
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.29;2026-08-19
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.29;2026-08-24
