mes;combustivel;posto;bairro;preco_medio;qtd_amostras
2026-01;Diesel;Arara Azul Rede de Postos Ltda;Praia de Itaparica;5.95;3
2026-02;Diesel;Arara Azul Rede de Postos Ltda;Praia de Itaparica;5.95;3
2026-03;Diesel;Arara Azul Rede de Postos Ltda;Praia de Itaparica;6.35;4
2026-04;Diesel;Arara Azul Rede de Postos Ltda;Praia de Itaparica;6.98;4
2026-05;Diesel;Arara Azul Rede de Postos Ltda;Praia de Itaparica;6.98;3
2026-06;Diesel;Arara Azul Rede de Postos Ltda;Praia de Itaparica;6.74;5
2026-07;Diesel;Arara Azul Rede de Postos Ltda;Praia de Itaparica;6.74;4
2026-08;Diesel;Arara Azul Rede de Postos Ltda;Praia de Itaparica;6.703;4
2026-01;Diesel;Auto Posto Boulevard Ltda;Praia de Itaparica;6.09;3
2026-02;Diesel;Auto Posto Boulevard Ltda;Praia de Itaparica;6.09;4
2026-03;Diesel;Auto Posto Boulevard Ltda;Praia de Itaparica;6.59;3
2026-04;Diesel;Auto Posto Boulevard Ltda;Praia de Itaparica;6.915;4
2026-05;Diesel;Auto Posto Boulevard Ltda;Praia de Itaparica;6.79;2
2026-06;Diesel;Auto Posto Boulevard Ltda;Praia de Itaparica;6.75;5
2026-07;Diesel;Auto Posto Boulevard Ltda;Praia de Itaparica;6.735;4
2026-08;Diesel;Auto Posto Boulevard Ltda;Praia de Itaparica;6.69;2
2026-01;Diesel;Auto Posto R M Ltda;Praia de Itaparica;6.09;4
2026-02;Diesel;Auto Posto R M Ltda;Praia de Itaparica;6.06;4
2026-03;Diesel;Auto Posto R M Ltda;Praia de Itaparica;6.465;4
2026-04;Diesel;Auto Posto R M Ltda;Praia de Itaparica;6.89;4
2026-05;Diesel;Auto Posto R M Ltda;Praia de Itaparica;6.79;3
2026-06;Diesel;Auto Posto R M Ltda;Praia de Itaparica;6.75;5
2026-07;Diesel;Auto Posto R M Ltda;Praia de Itaparica;6.735;4
2026-08;Diesel;Auto Posto R M Ltda;Praia de Itaparica;6.69;2
2026-01;Diesel;Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;5.99;2
2026-02;Diesel;Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;5.99;4
2026-03;Diesel;Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;6.29;3
2026-04;Diesel;Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;6.99;3
2026-05;Diesel;Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;6.99;4
